"org","freq"
"american foundry machine company",4
"american fuel company",2
"american gold dredging company",8
"american gold mining company",4
"american gold recovery company",1
"american goldfields company",1
"american graphite co",1
"american graphite company",2
"american hawaiian steamship company",1
"american heat reclaiming corp",1
"american horse shoe company",2
"american institute of",5
"american international corp",1
"american international shipbuilding corporation",1
"american iridium company",1
"american iron works",5
"american laundry machine company",1
"american lead pencil company",1
"american life insurance company",1
"american locomotive co",2
"american locomotive company",2
"american luxfer prism co",1
"american m p company",1
"american machine co limited",1
"american machine manufacturing company",2
"american madoc mining company",1
"american magnesite company",1
"american maize products company",1
"american manganese manufacturing company",7
"american manganese mfg company",2
"american manganese steel company",6
"american mckenna process company",3
"american metal co",1
"american metal company",85
"american metal ware company",1
"american metallurgical corp",1
"american metals company",1
"american metals producing company",1
"american meter company",1
"american mexican mining developing company",2
"american mineral production company",6
"american mines syndicate",1
"american mining co",1
"american mining company",4
"american mining dev company",1
"american mining development company",2
"american mining exploration company",6
"american mining milling company",3
"american mining power company",1
"american molasses company",1
"american motor equipment company",1
"american nickel company",1
"american oak leather company",1
"american oil company",1
"american oold copper mining company",1
"american optical company",1
"american ore flotation company",1
"american oxide co",1
"american paper goods company",1
"american petroleum corp",1
"american placer mines weippe nez perce company",2
"american printing company",1
"american quartz mining company",1
"american radiator company",2
"american rare metals company",3
"american reduction company",1
"american register company",1
"american rincon mining company",10
"american rock wool corp",1
"american roll wrapping paper co",1
"american rolling mill company",6
"american rutile company",2
"american s r company",10
"american saginaw development company",1
"american salpa corp",1
"american school of correspondence",2
"american seating company",1
"american sheet a tin plate company",4
"american sheet and tin plate co",1
"american sheet steel co",2
"american sheet tin plate company",4
"american silver corporation",1
"american sm elting refining company",8
"american smeiters securities company",1
"american smeltere securiti ps co",1
"american smelters securities company",65
"american smelting a refining co sierra mojada ahd",4
"american smelting a refining co tucson ahd",7
"american smelting a refining co velardena ahd",6
"american smelting and refin ing company",1
"american smelting and refining co",2
"american smelting and refining company",6
"american smelting c refining co velardena ahd",5
"american smelting g refining co denver ahd",6
"american smelting q refining co omaha ahd",2
"american smelting refining co",352
"american smelting refining co denver ahd",7
"american smelting refining co perth amboy plant",1
"american smelting refining co sierra mojada ahd",7
"american smelting refining company",12
"american smelting william h peirce refining co new york general manager",1
"american smeltingand refining co",1
"american soda fountain corp",1
"american spar company",4
"american spelter company",1
"american sr construction company",1
"american star mining company",2
"american steam automobile company",1
"american steel a wire company",2
"american steel and wire co",2
"american steel company",1
"american steel tube company",2
"american steel wire company",11
"american sugar refining co",3
"american sugar refining company",4
"american telephone and telegraph co",7
"american telephone and telegraph co research chemist with the general electric co",1
