"","id","source","year","company","capital","lastname","firstname","middlename","role","loc","text","simpname","srch","temp","geometry"
"12693","myb123206","myb",1891,"NIGEL GOLD MINING COMPANY LIMITED",NA,"watson","henry","griffin","board","london","John Freeman. | Henry Griffin. Joseph Watson Shaw. | William Anderson.","watson, h g",NA,"myb",c(-0.1277583, 51.5073509)
"12694","myb123207","myb",1891,"NIGEL GOLD MINING COMPANY LIMITED",NA,"mason","sowersby","j","board","london","Sowersby J. Mason. | Hugh Parker.","mason, s j",NA,"myb",c(-0.1277583, 51.5073509)
"12695","myb123207","myb",1891,"NIGEL GOLD MINING COMPANY LIMITED",NA,"parker","hugh",NA,"board","london","Sowersby J. Mason. | Hugh Parker.","parker, h",NA,"myb",c(-0.1277583, 51.5073509)
"12797","myb123656","myb",1891,"TION COMPANY LIMITED",NA,"buch","carl","theodore","chair","buchanan","Carl Theodore Von Buch, Chairman. Reginald Byard Buchanan Clayton. | John S. Sawrer.","buch, c t",NA,"myb",c(-95.712891, 37.09024)
"12798","myb123656","myb",1891,"TION COMPANY LIMITED",NA,"clayton","reginald","byard","board","buchanan","Carl Theodore Von Buch, Chairman. Reginald Byard Buchanan Clayton. | John S. Sawrer.","clayton, r b",NA,"myb",c(-95.712891, 37.09024)
"12799","myb123656","myb",1891,"TION COMPANY LIMITED",NA,"sawrer","john","s","board","buchanan","Carl Theodore Von Buch, Chairman. Reginald Byard Buchanan Clayton. | John S. Sawrer.","sawrer, j s",NA,"myb",c(-95.712891, 37.09024)
"12822","myb123708","myb",1891,"TION COMPANY LIMITED",NA,"groenewald","j","c","board","london","Lionel Phillips, Chairman. I Charles D. Hopkins. I J. C. Groenewald.","groenewald, j c",NA,"myb",c(-0.1277583, 51.5073509)
"12823","myb123708","myb",1891,"TION COMPANY LIMITED",NA,"hopkins","charles","d","board","london","Lionel Phillips, Chairman. I Charles D. Hopkins. I J. C. Groenewald.","hopkins, c d",NA,"myb",c(-0.1277583, 51.5073509)
"12824","myb123708","myb",1891,"TION COMPANY LIMITED",NA,"phillips","lionel",NA,"chair","london","Lionel Phillips, Chairman. I Charles D. Hopkins. I J. C. Groenewald.","phillips, l",NA,"myb",c(-0.1277583, 51.5073509)
"12825","myb123709","myb",1891,"TION COMPANY LIMITED",NA,"hanau","carl",NA,"board","london","William Heyward Rogers. I Carl Hanau. I Hendrik L. K. Scholtz.","hanau, c",NA,"myb",c(-0.1277583, 51.5073509)
